name,location,capacity,capacity_per_family,floor_area_sqm,type_of_structures,type,features,source of water,proximity,lat,lng,contact_person_and_number
Kingsville Evacuation Center( City Manage),Kingsville Subd.BARANGAY MAYAMOT,383,77,510,,,1 common-2 male-2 female comfort rooms,potable,,,,
Mayamot Elementary School Covered Court,147 Sumulong Hi-way BARANGAY MAYAMOT,"13,143","2,629","17,524",,,4 male-4 female comfort rooms,potable,,,,
BARANGAY MAYAMOT Daycare Center,Sumulong Hi-way BARANGAY MAYAMOT,38,8,50,,,1 male-1 female comfort rooms,non-potable,,,,
Mambugan Elementary School and Covered Court,Agnes Ville BARANGAY MAMBUGAN,225,45,300,,,1 male-1 female comfort rooms,potable,,,,
Josefina Elementary School and Covered Court,Josefina Subdivision BARANGAY MAMBUGAN,300,60,400,,,1 male-1 female comfort rooms,potable,,,,
Siruna National High School and Covered Court,Siruna BARANGAY MAMBUGAN,"2,700",540,"3,600",,,1 male-1 female comfort rooms,potable,,,,
Mambugan Barangay Hall,Sumulong Hi-way BARANGAY MAMBUGAN,270,54,360,,,2 male-2 female comfort rooms,potable,,,,
La Colina Covered Court,La Colina Subdivision BARANGAY MAMBUGAN,495,99,660,,,2 male-1 female comfort room,non-potable,,,,
Barangay Covered Court Ynares Multipurpose,Upper Sto.Nino BARANGAY STA.CRUZ,450,90,600,,,1 common comfort rooms,non-potable,,,,
Sta.Cruz Elementary School,Olalia Road BARANGAY STA.CRUZ,"16,335","3,268","21,786.50",,,3 male-3 female comfort rooms,potable,,,,
Lower Sto.Nino Covered Court,Lower Sto.Nino BARANGAY STA.CRUZ,675,135,900,,,1 common comfort room,non-potable,,,,
Barangay Hall Gym Covered Court,Rd.A Ph.4 Cogeo Village BARANGAY BAGONG NAYON,315,63,420,,,1 male-1 female comfort rooms,potable,,,,
Barangay Hall Health Center,Rd.A Ph.4 Cogeo Village BARANGAY BAGONG NAYON,46,43,288,,,1 male-1 female comfort rooms,potable,,,,
Barangay Hall School Day Care Center,Rd.A Ph.4 Cogeo Village BARANGAY BAGONG NAYON,150,30,200,,,,non-potable,,,,
Barangay Hall Operations Center,Rd.A Ph.4 Cogeo Village BARANGAY BAGONG NAYON,45,9,60,,,1 common comfort room,potable,,,,
Cogeo 1 Daycare center,Rd.A Ph.4 Cogeo Village BARANGAY BAGONG NAYON,60,12,80,,,1 common comfort room,non-potable,,,,
Cogeo 2 Daycare center,Rd.A Ph.4 Cogeo Village BARANGAY BAGONG NAYON,60,12,80,,,1 common comfort room,non-potable,,,,
ALS Center,Rd.A Ph.4 Cogeo Village BARANGAY BAGONG NAYON,82,16,110,,,1 common comfort room,potable,,,,
Livelihood Center,Rd.A Ph.4 Cogeo Village BARANGAY BAGONG NAYON,150,30,200,,,1 common comfort room,non-potable,,,,
Conference Covered Court,Cluster 1,375,75,500,,,1 common comfort room,non-potable,,,,
Barangay Hall Covered Court,F.Asuncion St.BARANGAY DELA PAZ,276,55,369,,,1 common comfort room,potable,,,,
Barangay Hall Main Hall,F.Asuncion St. BARANGAY DELA PAZ,270,54,360,,,2 male-2 female comfort rooms,potable,,,,
Barangay Hall Annex,Purok Imelda BARANGAY DELA PAZ,276,55,369,,,1 common comfort room,potable,,,,
Barangay Hall Annex Covered Court Purok Imelda,Purok Imelda BARANGAY DELA PAZ,276,54,360,,,1 common comfort room,potable,,,,
Dela Paz National High School,Ninoy Aquino Avenue BARANGAY DELA PAZ,"2,941",588,"3,921",,,4 male- 4 female comfort rooms,potable,,,,
Phase 4B Covered Court,Ph.IV-B BARANGAY DELA PAZ,383,77,510,,,1 common comfort room,non-potable,,,,
Sitio Ivory Covered Court,Sitio Ivory BARANGAY DELA PAZ,383,77,510,,,1 common comfort room,non-potable,,,,
Sitio Broadway Multipurpose Hall,Sitio Broadway BARANGAY DELA PAZ,383,77,510,,,1 common comfort room,non-potable,,,,
Palmera V Covered Court,Palmera 5 BARANGAY DELA PAZ,383,77,510,,,1 common comfort room,non-potable,,,,
Green Forest Multipurpose Hall,Green Forest BARANGAY DELA PAZ,21,4,27.36,,,2 common comfort rooms,non-potable,,,,
Green Forest Daycare Center,Green Forest BARANGAY DELA PAZ,23,5,30,,,1 common comfort room,non-potable,,,,
Sports Hub(city manage),"L.Sumulong Mem. Circle,Oreta BARANGAY SAN ISIDRO","1,463",293,"1,950",,,2 male-2 female- 1 common  comfort rooms,potable,,,,
Barangay San Isidro Covered Court,Sitio Maligaya BARANGAY SAN ISIDRO,570,114,760,,,1 male-1 female comfort rooms,potable,,,,
Fatima Village Covered Court,Fatima Village BARANGAY SAN ISIDRO,450,90,600,,,1 male-1 female comfort rooms,potable,,,,
CULDESAC Covered Court,CULDESAC Ph.1 BARANGAY SAN ISIDRO,360,72,480,,,1 common comfort room,potable,,,,
Zontaville Covered Court,Zontaville  BARANGAY SAN ISIDRO,371,74,494,,,1 common comfort room,potable,,,,
Gasak Covered Court,So.Gasak  BARANGAY SAN ISIDRO,528,104,697.5,,,1 common comfort room,potable,,,,
San Isidro Elementary School,C.Lawis Ext. BARANGAY SAN ISIDRO,450,90,600,,,3 male-4 female  comfort rooms,potable,,,,
San Isidro National High School,C.Lawis Ext. BARANGAY SAN ISIDRO,450,90,600,,,2 male-2 female comfort rooms,potable,,,,
Bagong Nayon II Elem.School,Bagong Nayon 2 BARANGAY SAN ISIDRO,450,90,600,,,3 male- 3 female comfort rooms,non-potable,,,,
Bagong Nayon IV Elem.School,Sitio Maligaya BARANGAY SAN ISIDRO,574,115,765,,,1 male-2 female comfort rooms,non-potable,,,,
Saarland Village Covered Court,So. Saarland  BARANGAY SAN ISIDRO,383,77,510,,,1 male-1 female comfort rooms,non-potable,,,,
Sitio Maligaya Covered Court,So.Maligaya BARANGAY SAN ISIDRO,450,90,600,,,,potable,,,,
Bagong Nayon II National High School,So.Dalisay BARANGAY SAN ISIDRO,574,115,765,,,1 male-1 female comfort rooms,non-potable,,,,
Phase 1-OTSO Covered Court,"Ph.1 OTSO,BN2 BARANGAY SAN ISIDRO",383,77,510,,,,,,,,
Aringit Covered Court,Sitio Aringit BARANGAY SAN ISIDRO,470,94,627,,,,,,,,
Phase 1-Talipapa Covered Court,BN2 BARANGAY SAN ISIDRO,225,45,300,,,,,,,,
Sitio Epheta Covered Court,"Sitio Epheta,BN2 BARANGAY SAN ISIDRO",389,78,519,,,,,,,,
Sitio Tanglaw Covered Court,Sitio Tanglaw BARANGAY SAN ISIDRO,252,50,336,,,,,,,,
Puno Multipurpose Hall-Rescue Bldg. Compound,Barangay Compound BARANGAY MUNTINDILAW,75,15,100,,,2 male-2 female- 1 common comfort rooms,potable,,,,
Muntindilaw National High School,Duluth Brookside Subdivision BARANGAY MUNTINDILAW,79,16,105,,,2 male-2 female-2 common comfort rooms,potable,,,,
Barangay Covered Court,Barangay Covered Court BARANGAY MUNTINDILAW,270,54,360,,,1 male-1 female-1 common comfort rooms,potable,,,,
Area 4B Basketball open court,Palm Drive Country Homes BARANGAY MUNTINDILAW,450,90,600,,,,,,,,
Skylark St. Vist Verde Bldg.,Skylark St. Country Homes BARANGAY MUNTINDILAW,68,14,90,,,1 common comfort room,potable,,,,
Saint Martin De Porres,San Marti de Porres BARANGAY MUNTINDILAW,750,150,1000,,,2 male-2 female comfort rooms,potable,,,,
Sitio Mahayhay Open Court BC,Sitio Mahayhay Country Homes BARANGAY MUNTINDILAW,450,90,600,,,,,,,,
Muntindilaw Daycare Center,Barangay Compound BARANGAY MUNTINDILAW,38,8,50,,,1 common comfort room,potable,,,,
Muntindilaw Elem.School,Barangay Compound BARANGAY MUNTINDILAW,"7,915","1,583","10,553",,,1 common comfort room,potable,,,,
KB 4 Open Area Basketball Court,Woodpeaker St. Country homes BARANGAY MUNTINDILAW,450,90,600,,,1 male-1 female comfort rooms,potable,,,,
Village East Clubhouse basketball Court,Lvillage East Avenue BARANGAY MUNTINDILAW,750,150,"1,000",,,,,,,,
Vista Verde Executive Basketball Court,"Alfonso St. ,Visa Verde BARANGAY MUNTINDILAW",450,90,600,,,,,,,,
Barangay Hall 2-storey Bldg.,Beverly Hills Subdivision BARANGAY BEVERLY HILLS,90,18,120,,,2 male-2 female comfort rooms,potable,,,,
Buhanginan Covered Court,So.Buhanginan BARANGAY SAN JOSE,450,90,600,,,,,,,,
Boso-bosoCovered Court,So.Old Bosoboso BARANGAY SAN JOSE,450,90,600,,,1 common comfort room,potable,,,,
Tanza Covered Court,So.Tanza BARANGAY SAN JOSE,450,90,600,,,1 male-1 female comfort rooms,,,,,
Sitio Kaysakat I Covered Court,So.Kaysakat BARANGAY SAN JOSE,405,81,540,,,1 common comfort room,potable,,,,
Jesus Cabarrus Elem.School & Covered Court,Solid Cement Road BARANGAY SAN JOSE,"2,092",418,"2,789",,,3 male-3 female comfort rooms,potable,,,,
Rizza Elementry School,Sitio Rizza BARANGAY SAN JOSE,"2,263",453,"3,017",,,1 male-1 female comfort rooms,non-potable,,,,
San Joseph Elementary School,Sitio San Joseph BARANGAY SAN JOSE,540,108,720,,,2 male-2 female comfort rooms,non-potable,,,,
Kaysakat Elementary School,Sitio Kaysakat BARANGAY SAN JOSE,"1,286",257,1715,,,2 male-2 female comfort rooms,non-potable,,,,
Maximo Gatlabayan Memorial Natl.High School,Paenaan BARANGAY SAN JOSE,571,114,761,,,2 male-2 female comfort rooms,potable,,,,
Old Boso-boso Elementary School,So. Old Bosoboso BARANGAY SAN JOSE,"8,175","1,635","10,900",,,2 male-2 female comfort rooms,non-potable,,,,
Barangay San Roque Hall,Cristimar Village,600,120,800,,,2 male-2 female comfort rooms,potable,,,,
Barangay Hall Day Care Center,Cristimar Village,75,15,100,,,1 male-1 female-1 common comfort rooms,potable,,,,
Sumulong Elementary School,Sumulong St.,"7,425","1,485","9,900",,,4 male-4 female comfort rooms,potable,,,,
Lores Elementary School,Bath St.Lores Subdivision,"2,940",588,"3,920",,,4 male-4 female comfort rooms,potable,,,,
San Roque National High School,Marigman St.,2.418,484,"3,224",,,4 male-4 female comfort rooms,potable,,,,
Nazarene Covered Court,Nazarene ville,450,90,600,,,1 male-1 female comfort rooms,potable,,,,
San Agustin Covered Court,San Agustin Village,450,90,600,,,1 common comfort room,potable,,,,
Cristimar Covered Court,"Jade St,Carigman Village",342,68,456,,,1 common comfort room,potable,,,,
Barangay Hall Sitio Pinagmisahan,Sitio Pinagminahan,157,31,209,,,2 male-3 female comfort rooms,potable,,,,
Phase 2-B Brgy.Hall Annex,Phase 2-B,"2,321",464,3094.34,,,1 common comfort room,potable,,,,
Phase 2 Peace Village Multipurpose court,Peace Village,275,55,367.16,,,1 male-1 female comfort rooms,potable,,,,
Phase 3 Peace Village Multipurpose court,Peace Village,258,52,343.64,,,1 male-1 female comfort rooms,potable,,,,
Sambaville 1 Barangay Hall,Samba ville,25,5,33.8,,,1 male-1 female comfort rooms,potable,,,,
Sambaville 1 Covered Court,Samba Ville,387,77,516,,,1 male-1 female comfort rooms,potable,,,,
Phase 2-Barangay Hall Covered Covered Court,Samba ville,163,33,217.1,,,2 male-2 female comfort rooms,potable,,,,
Piedra Covered Court,Piedra Blanca Subdivision,450,90,600,,,1 common comfort room,potable,,,,
Antipolo Hills Covered Court,Antipolo Hills,397,79,528.7,,,1 male-1 female comfort rooms,non-potable,,,,
Santana Village Chapel,Santana Village,341,68,454.4,,,1 male-1 female comfort rooms,potable,,,,
La Salle College open field area,Town and Country Heights,"15,000","3,000","20,000",,,2 male-2 female comfort rooms,potable,,,,
Insular Homes Covered Court,Insular Hmes Subd.,47,10,62.56,,,1 male-1 female comfort rooms,potable,,,,
Biong Village Covered Court,So.Biong,450,90,600,,,1 male-1 female comfort rooms,potable,,,,
Cherry Hills Phase 3 Covered Court,Cherry Hills Subd.Ph.3,329,66,439.25,,,1 male-1 female comfort rooms,potable,,,,
DAHAI Bayugo Govt. House,So.Bayugo,173,35,230,,,1 male-1 female comfort rooms,potable,,,,
Pinagminahan Covered Court,So.Pinagminahan,216,43,288.54,,,1 common comfort room,potable,,,,
Bermuda Covered Court,Bermuda Heights Subdivision,450,90,600,,,1 male-1 female comfort rooms,potable,,,,
Open Court Town and Country Phase 2,Town and Country Heights Ph2,485,67,646,,,1 common comfort room,potable,,,,
Open Court Town and Country Phase 3,Town and Country Heights Ph3,765,153,1020,,,1 common comfort room,potable,,,,
Culasisi Open Court,Sitio Culasisi,352,70,468.72,,,,,,,,
Culasisi Day Care Center,Sitio Culasisi,47,9,63,,,1 male-1 female comfort rooms,potable,,,,
Culasisi Chapel,Sitio Culasisi,"4,050",810,5400,,,1 male-1 female comfort rooms,potable,,,,
Primavera Covered Court,Primavera Homes,427,85,568.72,,,1 male-1 female comfort rooms,potable,,,,
Barangay Hall Multipurpose Covered Court,"Sto.Nino,Milagros Subdivision BARANGAY DALIG",225,45,300,,,1 male-1 female comfort rooms,potable,,,,
Isaias Tapales Elementary School,Circumferencial Road BARANGAY DALIG,"4,125",825,"5,500",,,2 male-2 female comfort rooms,potable,,,,
Kamatisan Covered Court,Sitio Kamatisan BARANGAY DALIG,450,90,600,,,1 male-1 female comfort rooms,potable,,,,
Dalig National High School,Antipolo-Teresa Road BARANGAY DALIG,142,28,189,,,4 male-4 female comfort rooms,potable,,,,
Inarawan Livelihood Center(Barangay),St.Anthony Ph.3 BARANGAY INARAWAN,60,12,80,,,2 male-2 female comfort rooms,potable,,,,
Maagay 3 Day Care Center,So.Maagay 3 BARANGAY INARAWAN,18,4,24,,,1 female comfort room,potable,,,,
Central 1 Central Day Care Center,So.Central BARANGAY INARAWAN,18,4,24,,,1 female comfort room,potable,,,,
Inuman Elementary School,So.Inuman BARANGAY INARAWAN,"7,500","1,500","10,000",,,5 female comfort rooms,potable,,,,
Saint Anthony Covered Court,St.Anthony Ph.2 BARANGAY INARAWAN,150,30,200,,,1 common comfort room,potable,,,,
Area Dela Paz Court,Area Dela Paz BARANGAY CUPANG,188,38,250.29,,,2 male-2 female comfort rooms,potable,,,,
Villa Grande Covered Court,Villa Grande Subdivision BARANGAY CUPANG,150,30,200,,,1 male-1 female comfort rooms,potable,,,,
Panorama Hills Covered Court,Panorama Hills  BARANGAY CUPANG,360,72,480,,,4 male-4 female comfort rooms,potable,,,,
Taguete Covered Court,So.Taguete BARANGAY CUPANG,450,90,600,,,1 male-1 female-1 common comfort rooms,non-potable,,,,
Sierra Vista Covered Court,Sierra Vista Subdivision BARANGAY CUPANG,338,68,450,,,1 male-1 female-1 common comfort rooms,potable,,,,
Manseta Covered Court,"Purok 3,Zone 8 BARANGAY CUPANG",150,30,200,,,1 common comfort room,potable,,,,
Barangay Hall,Barangay Compound                            BARANGAY SAN JUAN,150,30,200,,,2 male-1 female comfort rooms,potable,,,,
Sitio Inalsan Covered Court,Sitio Inalsan                            BARANGAY SAN JUAN,450,90,600,,,1 male-1 female comfort rooms,potable,,,,
Sitio Inalsan Barangay Health Center,Sitio Inalsan                            BARANGAY SAN JUAN,300,60,400,,,1 male-1 female comfort rooms,potable,,,,
Sitio Buntong Palay Barangay Day Care Center,Sitio Buntong Palay                            BARANGAY SAN JUAN,32,6,42,,,1 common comfort room,potable,,,,
Sitio Sapinit Barangay Hall Annex,Stio Sapinit                            BARANGAY SAN JUAN,225,45,300,,,2 male-2 female comfort rooms,potable,,,,
Sitio Sapinit MultiPurpose Building,Stio Sapinit                            BARANGAY SAN JUAN,112,23,150,,,2 male-2 female comfort rooms,potable,,,,
Sitio Sapinit Elem. School,Sitio Sapinit                            BARANGAY SAN JUAN,"1,875",375,"2,500",,,2 male-2 female comfort rooms,non-potable,,,,
San Juan National High School,Sitio Sapinit                            BARANGAY SAN JUAN,"1,500",300,"2,000",,,2 male-2 female comfort rooms,non-potable,,,,
Calawis Covered Court Purok 6,Purok 6 BARANGAY CALAWIS,"1,350",270,1800,,,3 male-3 female comfort rooms,non-potable,,,,
Calawis Elementary School,Purok 4 BARANGAY CALAWIS,"2,400",480,"3,200",,,5 male-5 female comfort rooms,potable,,,,
Calawis National High School,So.Paikulan BARANGAY CALAWIS,"7,500","1,500","10,000",,,2 male-2 female comfort rooms,potable,,,,
Calawis Day Care Center,Barangay Compound BARANGAY CALAWIS,27,5,36,,,1 male-1 female-1 common comfort rooms,potable,,,,
